A-3,33.9659129130911° N,,-117.348339853763° W
A-10,33.9658976977701° N,,-117.348239499848° W
A-20,33.965934829936° N,,-117.348186318357° W
A-50,33.9658927445798° N,,-117.347846880628° W
A-100,33.965906295508° N,,-117.347289109723° W
A-150,33.9659167990375° N,,-117.346767238707° W
A-200,33.9658963529762° N,,-117.346219678635° W
B-3,33.963505809432° N,,-117.348342353526° W
B-10,33.9635083799906° N,,-117.348276015367° W
B-20,33.9635383750682° N,,-117.348184797488° W
B-50,33.9635169166216° N,,-117.347872966526° W
B-100,33.9635194822346° N,,-117.347329287197° W
B-150,33.9635058252268° N,,-117.346774329806° W
B-200,33.963494158167° N,,-117.346243923925° W
C-3,33.962971206762° N,,-117.348329318002° W
C-10,33.9629925292392° N,,-117.348326477908° W
C-20,33.9629439268988° N,,-117.348169845912° W
C-50,33.9629116679789° N,,-117.347810579256° W
C-100,33.9629010202996° N,,-117.347302361103° W
C-150,33.9629411887735° N,,-117.346758011784° W
C-200,33.9629166311035° N,,-117.34626511893° W